id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_month,pickup_day,pickup_season,is_holiday,weekday_number,is_weekend,pickup_lat_lon,pickup_borough
id0880738,2,2016-02-27 20:13:05,2016-02-27 20:24:37,1,-73.98172760009764,40.7495002746582,-73.94591522216798,40.79206085205078,N,692,2,27,winter,False,5,False,"(40.7495002746582, -73.98172760009764)",Queens County
id2002545,2,2016-06-04 09:54:05,2016-06-04 10:10:35,1,-73.97908782958984,40.7716064453125,-73.94651794433594,40.82265472412109,N,990,6,4,spring,False,5,False,"(40.7716064453125, -73.97908782958984)",New York County
id0289724,2,2016-05-06 17:40:05,2016-05-06 17:50:52,1,-73.98970031738281,40.738651275634766,-73.99777221679686,40.754051208496094,N,647,5,6,spring,False,4,False,"(40.738651275634766, -73.98970031738281)",
id3767649,2,2016-05-30 19:20:26,2016-05-30 19:25:04,1,-73.98844146728516,40.7232666015625,-73.99588012695312,40.71671676635742,N,278,5,30,spring,False,0,False,"(40.7232666015625, -73.98844146728516)",
id2530846,2,2016-01-19 14:19:22,2016-01-19 14:34:03,2,-73.98573303222656,40.75259780883789,-73.96923065185547,40.75599670410156,N,881,1,19,winter,False,1,False,"(40.75259780883789, -73.98573303222656)",New York County
id1263703,1,2016-01-31 18:22:24,2016-01-31 18:39:21,1,-74.00892639160156,40.7188606262207,-73.9895248413086,40.743934631347656,N,1017,1,31,winter,False,6,True,"(40.7188606262207, -74.00892639160156)",
id3982308,2,2016-06-06 08:56:17,2016-06-06 09:36:25,5,-73.98570251464844,40.723190307617195,-73.78630065917967,40.644073486328125,N,2408,6,6,spring,False,0,False,"(40.723190307617195, -73.98570251464844)",
id2963580,2,2016-04-15 07:04:30,2016-04-15 07:14:33,5,-73.9477310180664,40.77514266967773,-73.98269653320312,40.774028778076165,N,603,4,15,spring,False,4,False,"(40.77514266967773, -73.9477310180664)",New York County
id3983086,1,2016-04-27 07:26:39,2016-04-27 07:35:10,1,-73.96774291992188,40.787464141845696,-73.97542572021484,40.76530456542969,N,511,4,27,spring,False,2,False,"(40.787464141845696, -73.96774291992188)",New York County
id3453536,1,2016-03-10 15:26:36,2016-03-10 15:57:39,2,-73.87301635742188,40.774124145507805,-73.97105407714845,40.761844635009766,N,1863,3,10,winter,False,3,False,"(40.774124145507805, -73.87301635742188)",Bronx
id0938748,2,2016-01-13 21:02:52,2016-01-13 21:11:30,1,-73.9715576171875,40.754695892333984,-73.9552001953125,40.77726745605469,N,518,1,13,winter,False,2,False,"(40.754695892333984, -73.9715576171875)",Queens County
id0581674,2,2016-01-05 08:48:41,2016-01-05 08:52:23,1,-73.98177337646483,40.76519012451172,-73.9820785522461,40.77185821533203,N,222,1,5,winter,False,1,False,"(40.76519012451172, -73.98177337646483)",New York County
id2323477,2,2016-01-10 02:26:50,2016-01-10 02:33:08,1,-74.00560760498048,40.7407112121582,-73.99373626708984,40.745418548583984,N,378,1,10,winter,False,6,True,"(40.7407112121582, -74.00560760498048)",
id0907403,2,2016-01-31 15:00:27,2016-01-31 15:08:49,5,-73.99869537353516,40.73213577270508,-74.00434875488281,40.7166862487793,N,502,1,31,winter,False,6,True,"(40.73213577270508, -73.99869537353516)",
